title,boxoffice,dates,budget,links
Zoo Wars,"$8,998",4/27/18,N/A,/movies/?id=zoowars.htm
The Cat Returns - Studio Ghibli Fest 2018,"$563,718",4/22/18,N/A,/movies/?id=thecatreturns2018.htm
Sgt. Stubby: An American Hero,"$4,015,935",4/13/18,N/A,/movies/?id=sgstubby.htm
The Son of Bigfoot,"$289,308",3/30/18,N/A,/movies/?id=thesonofbigfoot.htm
Ice Dragon: The Legend of the Blue Daisies,"$20,549",3/24/18,N/A,/movies/?id=icedragon.htm
Sherlock Gnomes,"$43,242,871",3/23/18,$59 million,/movies/?id=sherlockgnomes.htm
Isle Of Dogs,"$32,015,231",3/23/18,N/A,/movies/?id=isleofdogs.htm
Sheep & Wolves,n/a,3/9/18,N/A,/movies/?id=sheepwolves.htm
The Big Bad Fox and Other Tales,"$35,787",3/8/18,N/A,/movies/?id=thebigbadfoxandothertales.htm
Early Man,"$8,267,544",2/16/18,N/A,/movies/?id=earlyman.htm
Mind Game (2017 re-release),"$36,613",2/16/18,N/A,/movies/?id=mindgame2017.htm
Tehran Taboo,"$74,758",2/14/18,N/A,/movies/?id=tehrantaboo.htm
Mazinger Z: INFINITY,"$220,682",2/11/18,N/A,/movies/?id=mazingerzinfinity.htm
Peter Rabbit,"$115,253,424",2/9/18,$50 million,/movies/?id=peterrabbit.htm
Monster Family,"$127,259",2/9/18,N/A,/movies/?id=monsterfamily.htm
Bilal: A New Breed of Hero,"$490,973",2/2/18,N/A,/movies/?id=bilal:anewbreedofhero.htm
Digimon Adventure Tri. 4: Loss,"$59,114",2/1/18,N/A,/movies/?id=digimonloss.htm
Have a Nice Day,"$79,393",1/26/18,N/A,/movies/?id=haveaniceday.htm
Mary and the Witch's Flower,"$2,418,404",1/18/18,N/A,/movies/?id=maryandthewitchsflower.htm
Condorito: La Pelicula,"$447,719",1/12/18,N/A,/movies/?id=condorito.htm
Left Tern,n/a,2018,N/A,/movies/?id=foxanimation617.htm
Ferdinand,"$84,410,380",12/15/17,$111 million,/movies/?id=ferdinand.htm
Birdboy: The Forgotten Children,"$38,786",12/15/17,N/A,/movies/?id=birdboy.htm
Tad the Lost Explorer and the Secret of King Midas,"$5,874",12/1/17,N/A,/movies/?id=tadeojones2.htm
Coco,"$209,726,015",11/22/17,N/A,/movies/?id=pixar1117.htm
The Star,"$40,852,824",11/17/17,$20 million,/movies/?id=thelamb.htm
The Breadwinner,"$313,215",11/17/17,N/A,/movies/?id=thebreadwinner.htm
Pokemon the Movie: I Choose You!,"$2,401,722",11/5/17,N/A,/movies/?id=pokemonichooseyou.htm
A Silent Voice,"$644,391",10/20/17,N/A,/movies/?id=asilentvoice.htm
My Little Pony: The Movie,"$21,885,107",10/6/17,$6.5 million,/movies/?id=mylittlepony2017.htm
Window Horses,n/a,9/29/17,N/A,/movies/?id=windowhorses.htm
The LEGO Ninjago Movie,"$59,281,555",9/22/17,N/A,/movies/?id=ninjago.htm
Loving Vincent,"$6,735,118",9/22/17,N/A,/movies/?id=lovingvincent.htm
Lupin the Third: The Castle of Cagliostro (2017 re-release),"$142,425",9/8/17,N/A,/movies/?id=lupincastleofcagliostro.htm
Napping Princess,"$48,198",9/8/17,N/A,/movies/?id=nappingprincess.htm
Leap!,"$24,702,560",8/25/17,N/A,/movies/?id=leap.htm
Fairy Tail: Dragon Cry,"$519,461",8/14/17,N/A,/movies/?id=fairytaildragoncry.htm
The Nut Job 2: Nutty by Nature,"$28,370,522",8/11/17,$40 million,/movies/?id=nutjob2.htm
The Emoji Movie,"$86,089,513",7/28/17,$50 million,/movies/?id=theemojimovie.htm
The Girl Without Hands,"$21,787",7/21/17,N/A,/movies/?id=thegirlwithouthands.htm
Despicable Me 3,"$264,624,300",6/30/17,$80 million,/movies/?id=despicableme3.htm
Cars 3,"$152,901,115",6/16/17,N/A,/movies/?id=cars3.htm
Black Butler: Book of the Atlantic,"$248,286",6/12/17,N/A,/movies/?id=blackbutler.htm
Captain Underpants: The First Epic Movie,"$73,921,000",6/2/17,$38 million,/movies/?id=captainunderpants.htm
Spark: A Space Tail,"$196,458",4/14/17,N/A,/movies/?id=spark17.htm
Smurfs: The Lost Village,"$45,020,282",4/7/17,$60 million,/movies/?id=smurfs3.htm
Your Name.,"$5,017,246",4/7/17,N/A,/movies/?id=yourname.htm
The Boss Baby,"$175,003,033",3/31/17,N/A,/movies/?id=bossbaby.htm
Sword Art Online: The Movie - Ordinal Scale,"$1,522,976",3/9/17,N/A,/movies/?id=swordartonline.htm
Ballerina (2017) [Canada Only],"$24,702,560",2/24/17,N/A,/movies/?id=ballerina2017.htm
Rock Dog,"$9,420,546",2/24/17,N/A,/movies/?id=rockdog.htm
My Life as a Zucchini,"$309,766",2/24/17,N/A,/movies/?id=mylifeasazucchini.htm
The LEGO Batman Movie,"$175,750,384",2/10/17,$80 million,/movies/?id=lego2.htm
The Trouble with Terkel (2017),"$161,457",2/3/17,N/A,/movies/?id=troublewithterkel2017.htm
Yu-Gi-Oh! The Dark Side of Dimensions,"$1,015,339",1/27/17,N/A,/movies/?id=yugiohthedarkside.htm
The Red Turtle,"$921,974",1/20/17,N/A,/movies/?id=theredturtle.htm
Sailor Moon R: The Movie,"$787,750",1/19/17,N/A,/movies/?id=sailormoonrthemovie.htm
One Piece Film: Gold,"$423,593",1/10/17,N/A,/movies/?id=onepiecefilmgold.htm
Ocean Waves,"$83,962",12/28/16,N/A,/movies/?id=oceanwaves.htm
Sing,"$270,395,425",12/21/16,$75 million,/movies/?id=illumination2016.htm
Moana,"$248,757,044",11/23/16,N/A,/movies/?id=disney1116.htm
Chaar Sahibzaade: Rise of Band Singh Bahadur,"$700,723",11/11/16,N/A,/movies/?id=chaarsahibzaade2.htm
Trolls,"$153,707,064",11/4/16,$125 million,/movies/?id=trolls.htm
Yo-kai Watch: The Movie,"$257,343",10/15/16,N/A,/movies/?id=yokaiwatchmovie.htm
Miss Hokusai,"$222,670",10/14/16,N/A,/movies/?id=misshokusai.htm
La Leyenda del Chupacabras,n/a,10/14/16,N/A,/movies/?id=laleyendadelchupacabras.htm
Blinky Bill,n/a,10/7/16,N/A,/movies/?id=blinkybill.htm
Tower,"$101,987",9/28/16,N/A,/movies/?id=tower2016.htm
Storks,"$72,679,278",9/23/16,$70 million,/movies/?id=storks.htm
Digimon Adventure tri.,"$190,581",9/15/16,N/A,/movies/?id=digimonadvtri.htm
The Wild Life (2016),"$8,005,586",9/9/16,N/A,/movies/?id=thewildlife2016.htm
Kubo and the Two Strings,"$48,023,088",8/19/16,$60 million,/movies/?id=kuboandthetwostrings.htm
Kingsglaive: Final Fantasy: XV,"$269,980",8/19/16,N/A,/movies/?id=kingsglaive.htm
Sausage Party,"$97,685,686",8/12/16,$19 million,/movies/?id=sausageparty.htm
Batman: The Killing Joke,"$3,775,000",7/25/16,N/A,/movies/?id=batmankillingjoke.htm
Ice Age: Collision Course,"$64,063,008",7/22/16,$105 million,/movies/?id=iceage5.htm
Phantom Boy,"$34,362",7/15/16,N/A,/movies/?id=phantomboy.htm
The Secret Life of Pets,"$368,384,330",7/8/16,$75 million,/movies/?id=illumination2015.htm
Finding Dory,"$486,295,561",6/17/16,N/A,/movies/?id=pixar2015.htm
The Angry Birds Movie,"$107,509,366",5/20/16,$73 million,/movies/?id=angrybirds.htm
Project Itoh - Harmony,"$23,248",5/17/16,N/A,/movies/?id=harmony.htm
Ratchet & Clank,"$8,821,329",4/29/16,N/A,/movies/?id=ratchetandclank.htm
Project Itoh - The Empire of Corpses,n/a,4/19/16,N/A,/movies/?id=empireofcorpses.htm
April and the Extraordinary World,"$295,488",3/25/16,N/A,/movies/?id=aprilandtheextraordinaryworld.htm
Psycho-Pass: The Movie,"$138,366",3/15/16,N/A,/movies/?id=psychopass.htm
Zootopia,"$341,268,248",3/4/16,N/A,/movies/?id=disney2016.htm
The Boy and the Beast,"$490,643",3/4/16,N/A,/movies/?id=theboyandthebeast.htm
The Little Prince,"$1,339,152",2/12/16,N/A,/movies/?id=thelittleprince.htm
